N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
50,all,30,5.0000,6,1222.9,1500.0,81.5,23.88,51.35,7.12,82.35,97,14,0,8083,NVDEC
50,all,30,3.7500,8,1248.5,1500.0,83.2,22.78,42.47,5.32,70.57,99,12,0,4379,NVDEC
50,all,30,2.5000,12,1255.3,1500.0,83.7,23.01,31.36,3.86,58.23,100,10,0,3316,NVDEC
50,all,30,2.0000,15,1255.7,1500.0,83.7,25.34,30.38,3.66,59.38,99,8,0,3248,NVDEC
50,all,30,1.2500,24,1262.5,1500.0,84.2,23.06,17.78,2.99,43.83,99,8,0,1461,NVDEC
50,all,30,1.0000,30,1261.7,1500.0,84.1,23.06,15.12,2.82,41.00,99,5,0,1297,NVDEC
50,all,30,0.6667,45,1261.9,1500.0,84.1,23.93,10.92,2.68,37.53,99,5,0,1071,NVDEC
50,all,30,0.5000,60,1262.6,1500.0,84.2,22.62,7.45,2.58,32.65,100,4,0,566,NVDEC
50,all,30,0.3333,90,1268.3,1500.0,84.6,24.30,6.78,2.47,33.55,100,3,0,397,NVDEC
50,all,30,0.2000,150,1261.6,1500.0,84.1,23.58,6.90,2.52,33.00,99,2,0,314,NVDEC
75,all,30,30.0000,1,950.6,2250.0,42.2,45.87,81.44,25.57,152.88,81,55,0,47972,NVDEC
75,all,30,15.0000,2,1048.9,2250.0,46.6,38.75,112.04,25.67,176.46,83,30,0,39217,NVDEC
75,all,30,10.0000,3,1164.5,2250.0,51.8,35.02,108.32,20.67,164.01,92,24,0,17226,NVDEC
75,all,30,7.5000,4,1168.4,2250.0,51.9,37.16,109.77,16.43,163.36,91,19,0,15797,NVDEC
75,all,30,5.0000,6,1240.4,2250.0,55.1,34.60,91.72,10.59,136.91,99,14,0,9108,NVDEC
75,all,30,3.7500,8,1236.4,2250.0,55.0,36.37,84.03,7.93,128.33,96,12,0,7237,NVDEC
75,all,30,2.5000,12,1271.6,2250.0,56.5,34.45,64.69,5.24,104.38,100,7,0,4605,NVDEC
