N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
4,key15,15,0.5000,4,7.8,8.0,97.5,0.10,0.02,1.99,2.11,4,1,0,41,none(offered-bound)
4,key15,15,0.3333,6,7.8,8.0,97.5,0.11,0.02,1.97,2.10,0,1,0,31,none(offered-bound)
4,key15,15,0.2500,8,7.8,8.0,97.5,0.11,0.02,2.11,2.24,0,1,0,33,none(offered-bound)
4,key15,15,0.1667,12,7.8,8.0,97.5,0.11,0.02,1.94,2.07,0,1,0,10,none(offered-bound)
4,key15,15,0.1333,15,7.8,8.0,97.5,0.11,0.02,2.20,2.33,5,0,0,16,none(offered-bound)
4,key15,15,0.0833,24,7.8,8.0,97.5,0.12,0.02,2.03,2.17,0,0,0,6,none(offered-bound)
4,key15,15,0.0667,30,7.8,8.0,97.5,0.13,0.02,2.29,2.44,6,0,0,8,none(offered-bound)
8,key15,15,2.0000,1,15.6,16.0,97.5,0.10,0.02,1.86,1.98,6,2,0,325,none(offered-bound)
8,key15,15,1.0000,2,15.6,16.0,97.5,0.10,0.01,1.86,1.97,11,2,0,184,none(offered-bound)
8,key15,15,0.6667,3,15.6,16.0,97.5,0.10,0.02,1.98,2.10,11,0,0,178,none(offered-bound)
8,key15,15,0.5000,4,15.6,16.0,97.5,0.10,0.02,1.90,2.02,11,2,0,84,none(offered-bound)
8,key15,15,0.3333,6,15.7,16.0,98.1,0.10,0.02,1.97,2.09,7,0,0,63,none(offered-bound)
8,key15,15,0.2500,8,15.6,16.0,97.5,0.10,0.02,2.00,2.12,11,0,0,52,none(offered-bound)
8,key15,15,0.1667,12,15.6,16.0,97.5,0.11,0.02,2.08,2.21,11,0,0,42,none(offered-bound)
8,key15,15,0.1333,15,15.6,16.0,97.5,0.11,0.02,1.98,2.11,11,0,0,15,none(offered-bound)
8,key15,15,0.0833,24,15.6,16.0,97.5,0.11,0.02,1.93,2.06,11,0,0,10,none(offered-bound)
